"rank","last","title","artist","album"
1,1,"롤린 (Rollin')","브레이브걸스 (Brave girls)","Rollin'"
2,2,"라일락","아이유 (IU)","IU 5th Album 'LILAC'"
3,3,"Timeless","SG워너비","Wanna Be＋"
4,4,"운전만해 (We Ride)","브레이브걸스 (Brave girls)","We Ride"
5,7,"불어온다","하이라이트 (Highlight)","The Blowing"
6,5,"Celebrity","아이유 (IU)","IU 5th Album 'LILAC'"
7,6,"라라라","SG워너비","My Friend"
8,8,"마.피.아. In the morning","ITZY (있지)","GUESS WHO"
9,9,"Coin","아이유 (IU)","IU 5th Album 'LILAC'"
10,10,"Dynamite","방탄소년단","Dynamite (DayTime Ver.)"
11,11,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭 & 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
12,12,"그냥 안아달란 말야","다비치","그냥 안아달란 말야"
13,14,"내사람 : Partner For Life","SG워너비","The 3rd Masterpiece"
14,13,"너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)","케이시 (Kassy)","너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)"
15,16,"On The Ground","로제 (ROSE)","R"
16,25,"춤춰 (Ugly Dance)","온앤오프 (ONF)","CITY OF ONF"
17,15,"살다가","SG워너비","2집 살다가"
18,17,"어푸 (Ah puh)","아이유 (IU)","IU 5th Album 'LILAC'"
19,18,"Blueming","아이유 (IU)","Love poem"
20,19,"밝게 빛나는 별이 되어 비춰줄게","송이한","밝게 빛나는 별이 되어 비춰줄게"
21,21,"밤하늘의 별을 (2020)","경서","밤하늘의 별을 (2020)"
22,20,"에잇 (Prod. & Feat. SUGA of BTS)","아이유 (IU)","에잇"
23,24,"VVS (Feat. JUSTHIS) (Prod. by GroovyRoom)","미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM)","쇼미더머니 9 Episode 1"
24,23,"죄와 벌 (罪와 罰)","SG워너비","2집 살다가"
25,27,"ASAP","STAYC (스테이씨)","STAYDOM"
26,26,"잠이 오질 않네요","장범준","잠이 오질 않네요"
27,29,"멜로디","ASH ISLAND","멜로디"
28,28,"Lovesick Girls","BLACKPINK","THE ALBUM"
29,32,"이제 나만 믿어요","임영웅","내일은 미스터트롯 우승자 특전곡"
30,31,"취기를 빌려 (취향저격 그녀 X 산들)","산들","취기를 빌려 (취향저격 그녀 X 산들)"
31,36,"METEOR","창모 (CHANGMO)","Boyhood"
32,35,"오래된 노래","Standing Egg (스탠딩 에그)","오래된 노래"
33,34,"이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)","10CM","이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)"
34,33,"기다릴게","하동균 & 봉구 (길구봉구)","기다릴게"
35,41,"Dolphin","오마이걸 (OH MY GIRL)","NONSTOP"
36,38,"우린 어쩌다 헤어진 걸까","허각","Hello"
37,37,"봄 안녕 봄","아이유 (IU)","IU 5th Album 'LILAC'"
38,22,"Drunk-Dazed","ENHYPEN","BORDER : CARNIVAL"
39,43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU (악동뮤지션)","항해"
40,45,"작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)","방탄소년단","MAP OF THE SOUL : PERSONA"
41,41,"상상더하기","라붐 (LABOUM)","Fresh Adventure"
42,42,"내사람","SG워너비","The Precious History"
43,40,"아이와 나의 바다","아이유 (IU)","IU 5th Album 'LILAC'"
44,44,"Flu","아이유 (IU)","IU 5th Album 'LILAC'"
45,47,"나랑 같이 걸을래 (바른연애 길잡이 X 적재)","적재","나랑 같이 걸을래 (바른연애 길잡이 X 적재)"
46,46,"오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)","마크툽 (Maktub)","Red Moon : To You My Light"
47,54,"사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco)","호미들","사이렌 Remix"
48,48,"고백 (바른연애 길잡이 X 허각)","허각","고백 (바른연애 길잡이 X 허각)"
49,50,"사이렌","호미들","Ghetto Kids"
50,30,"헤어지는거죠","펀치 (Punch)","헤어지는거죠"
51,52,"Life Goes On","방탄소년단","BE"
52,55,"힘든 건 사랑이 아니다","임창정","힘든 건 사랑이 아니다"
53,57,"너의 번호를 누르고 (Prod. by 영화처럼)","#안녕","너의 번호를 누르고"
54,51,"그날에 나는 맘이 편했을까","이예준","그날에 나는 맘이 편했을까"
55,58,"늦은 밤 너의 집 앞 골목길에서","노을","늦은 밤 너의 집 앞 골목길에서"
56,56,"내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)","규현 (KYUHYUN)","내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)"
57,53,"아리랑","SG워너비","The Sentimental Chord"
58,61,"살짝 설렜어 (Nonstop)","오마이걸 (OH MY GIRL)","NONSTOP"
59,60,"밤편지","아이유 (IU)","밤편지"
60,59,"돌림노래 (Feat. DEAN)","아이유 (IU)","IU 5th Album 'LILAC'"
61,49,"응급실 (2021)","황인욱","응급실 (2021)"
62,62,"봄날","방탄소년단","YOU NEVER WALK ALONE"
63,74,"별빛 같은 나의 사랑아","임영웅","별빛 같은 나의 사랑아"
64,66,"How You Like That","BLACKPINK","How You Like That"
65,63,"추억은 만남보다 이별에 남아","정동하","추억은 만남보다 이별에 남아"
66,68,"어떻게 지내 (Prod. by VAN.C)","오반 (OVAN)","어떻게 지내"
67,69,"술 한잔 해요","경서 (경서예지) & MJ (써니사이드)","술 한잔 해요"
68,64,"Love poem","아이유 (IU)","Love poem"
69,70,"주저하는 연인들을 위해","잔나비","전설"
70,80,"HERO","임영웅","HERO"
71,72,"오늘도 난 봄을 기다려","케이시 (Kassy)","비밀 : 리에 Vol.2 ''오늘도 난 봄을 기다려''"
72,71,"좋은 이별이 있을 리가 없잖아 (Feat. 조현아 of 어반자카파)","MC몽","FLOWER 9"
73,76,"노래방에서","장범준","장범준 3집"
74,67,"Don't Call Me","SHINee (샤이니)","Don't Call Me - The 7th Album"
75,79,"When We Disco (Duet With 선미)","박진영","When We Disco"
76,73,"너를 만나","폴킴","너를 만나"
77,75,"아무노래","지코 (ZICO)","아무노래"
78,78,"사실 나는 (Feat. 전건호)","경서예지","사실 나는"
79,84,"Way Back Home","숀 (SHAUN)","Take"
80,77,"에필로그","아이유 (IU)","IU 5th Album 'LILAC'"
81,81,"Downtown Baby","블루 (BLOO)","Downtown Baby"
82,82,"사계 (Four Seasons)","태연 (TAEYEON)","사계 (Four Seasons)"
83,83,"혼술하고 싶은 밤","벤","혼술하고 싶은 밤"
84,85,"딩가딩가 (Dingga)","마마무(Mamamoo)","딩가딩가 (Dingga)"
85,86,"마리아 (Maria)","화사 (Hwa Sa)","Maria"
86,92,"Square (2017)","백예린 (Yerin Baek)","Every letter I sent you."
87,88,"해바라기","SG워너비","SG Wannabe 7 Part.1"
88,90,"내일이 오면 (Feat. 기리보이 & BIG Naughty (서동현))","릴보이 (lIlBOI)","쇼미더머니 9 Episode 3"
89,39,"Make up your mind","에일리 (AILEE)","LOVIN'"
90,87,"우리 왜 헤어져야 해","신예영","우리 왜 헤어져야 해"
91,97,"다시 만날까 봐","V.O.S","다시 만날까 봐"
92,96,"이렇게 좋아해 본 적이 없어요","CHEEZE (치즈)","이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈))"
93,94,"함께 했는데 이별은 나 혼자인 거야","소정 (레이디스 코드)","함께 했는데 이별은 나 혼자인 거야"
94,99,"사랑이 식었다고 말해도 돼","먼데이 키즈 (Monday Kiz)","사랑이 식었다고 말해도 돼"
95,91,"사랑에 연습이 있었다면 (Prod. by 2soo)","임재현","사랑에 연습이 있었다면"
96,101,"그때가 좋았어","케이시 (Kassy)","그때가 좋았어"
97,100,"365&7 (Feat. JAMIE)","pH-1","365&7"
98,89,"여자이니까","벤","여자이니까"
99,95,"What Do I Call You","태연 (TAEYEON)","What Do I Call You - The 4th Mini Album"
100,102,"시든 꽃에 물을 주듯","HYNN (박혜원)","시든 꽃에 물을 주듯"
